cdl_code,crop,year,fifty_pct_planted,n_weekly_reports
1,corn,2018,2018-05-08,9
1,corn,2019,2019-05-12,12
1,corn,2020,2020-04-27,9
1,corn,2021,2021-04-29,9
1,corn,2022,2022-05-13,11
1,corn,2023,2023-05-03,11
1,corn,2024,2024-05-07,11
1,corn,2025,2025-05-04,10
5,soybean,2018,2018-05-17,9
5,soybean,2019,2019-06-04,12
5,soybean,2020,2020-05-04,10
5,soybean,2021,2021-05-04,10
5,soybean,2022,2022-05-18,11
5,soybean,2023,2023-05-07,9
5,soybean,2024,2024-05-15,11
5,soybean,2025,2025-05-07,11
